OS,CVE,PO
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33759,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33761,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33771,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33773,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33781,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-33784,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34438,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34441,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34445,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34446,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34455,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34456,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34459,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34460,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34461,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34481,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34483,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34484,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34486,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34488,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34489,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34492,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34498,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34504,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34508,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34510,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34511,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34512,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34513,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34514,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34516,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34521,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34527,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34530,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34533,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34535,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34536,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-34537,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36934,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36936,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36937,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36947,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36948,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36954,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36955,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36957,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36963,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36964,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36965,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36966,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36967,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36970,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36973,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36974,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-36975,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-38628,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-38630,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-38633,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-38638,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-38639,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-38666,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-38667,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-38671,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40443,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40444,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40447,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40449,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40450,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40462,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40464,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40465,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40466,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40467,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40470,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40477,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40478,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40488,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-40489,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41330,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41331,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41333,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41335,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41340,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41345,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41347,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41357,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41366,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41367,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41370,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41377,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-41378,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-42275,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-42276,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-42283,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-42285,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-42286,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43207,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43215,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43217,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43223,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43226,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43229,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43230,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43231,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43232,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43234,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43237,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43238,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43240,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43247,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43248,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2021-43883,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21833,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21835,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21836,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21849,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21850,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21851,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21852,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21857,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21858,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21874,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21878,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21885,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21888,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21893,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21895,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21897,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21898,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21902,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21907,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21908,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21912,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21914,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21916,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21920,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21922,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21971,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21972,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21974,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21981,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
