Задача,IP-адрес,CVE,FQDN,Операционная система,Сервис/ПО,ID,Базовая оценка CVSS v2,Базовая оценка CVSS v3,Уровень опасности,Уязвимость,Как исправить,Ссылки,Неустановленное обновление безопасности,Ссылки на обновления,Дата выпуска обновления,Коэффициент,Уровень изоляции,Критичность,Уровень критичности
Эталонный образ RUS,10.85.37.116,CVE-2021-26441,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419389,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26441,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-26441,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-31951,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419027,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31951,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31951,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-31952,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419028,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31952,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31952,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-31954,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419029,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31954,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31954,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-31956,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419031,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31956,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31956,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-31962,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419034,"0,0","9,4",Критический уровень,Обход защитных механизмов,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31962,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31962,,,,1,"0,9","8,46",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-31969,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419036,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31969,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31969,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-31973,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419040,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31973,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31973,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-31979,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419097,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31979,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31979,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33739,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419045,"0,0","8,4",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33739,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33739,,,,1,"0,9","7,56",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33743,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419099,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33743,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33743,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33749,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419103,"0,0","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33749,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33749,,,,1,"0,9","7,92",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33750,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419104,"0,0","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33750,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33750,,,,1,"0,9","7,92",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33752,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419106,"0,0","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33752,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33752,,,,1,"0,9","7,92",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33756,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419109,"0,0","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33756,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33756,,,,1,"0,9","7,92",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33759,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419111,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33759,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33759,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33761,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419113,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33761,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33761,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33771,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419117,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33771,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33771,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33773,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419119,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33773,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33773,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33781,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419093,"0,0","8,1",Высокий уровень,Обход защитных механизмов,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33781,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33781,,,,1,"0,9","7,29",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-33784,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419125,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33784,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33784,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34438,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419129,"0,0","7,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34438,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34438,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34441,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419131,"0,0","7,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34441,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34441,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34445,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419134,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34445,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34445,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34446,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419089,"0,0","8,0",Высокий уровень,Обход защитных механизмов,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34446,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34446,,,,1,"0,9","7,2",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34455,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419138,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34455,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34455,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34456,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419139,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34456,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34456,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34459,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419142,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34459,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34459,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34460,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419143,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34460,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34460,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34461,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419144,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34461,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34461,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34481,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419189,"0,0","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-34481,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34481,,,,1,"0,9","7,92",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34483,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419210,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34483,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34483,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34484,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419211,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34484,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34484,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34486,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419212,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34486,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34486,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34488,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419148,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34488,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34488,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34489,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419149,"0,0","7,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34489,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34489,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34492,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419152,"0,0","8,1",Высокий уровень,Подмена данных,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34492,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34492,,,,1,"0,9","7,29",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34498,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419156,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34498,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34498,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34504,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419159,"0,0","7,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34504,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34504,,,,1,"0,9","7,02",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34508,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419161,"0,0","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34508,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34508,,,,1,"0,9","7,92",Kритический
Эталонный образ RUS,10.85.37.116,CVE-2021-34510,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),419163,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34510,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34510,,,,1,"0,9","7,02",Kритический
