Код,Задача,IP-адрес,FQDN,OS,CVE,PO,ID,Базовая оценка CVSS v2,Базовая оценка CVSS v3,Уровень опасности,Уязвимость,Как исправить,Ссылки,Неустановленное обновление безопасности,Ссылки на обновления,Дата выпуска обновления,Коэффициент,Уровень изоляции,Критичность,Уровень критичночти
84,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,414160,"4,3","5,9",Средний уровень,"Разглашение информации, связанное с TLS/SSL",Используйте рекомендации производителя: http://technet.microsoft.com/library/security/ms16-065,MS (16-065): http://technet.microsoft.com/library/security/ms16-065 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-0149,,,,1,"0,9","5,31",Высокий
80,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,414338,"5,0","5,5",Средний уровень,"Разглашение информации, связанное с .NET",Используйте рекомендации производителя: http://technet.microsoft.com/library/security/MS16-120,MS (16-120): http://technet.microsoft.com/library/security/MS16-120 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-3209,,,,1,"0,9","4,95",Средний
62,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2457",Microsoft .NET Framework - 3.5,414223,"5,0","7,5",Высокий уровень,Разглашение информации через .NET,Используйте рекомендации производителя: http://technet.microsoft.com/library/security/ms16-091,MS (16-091): http://technet.microsoft.com/library/security/ms16-091 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-3255,,,,1,"0,9","6,75",Высокий
52,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,414533,"7,2","7,8",Высокий уровень,"Удаленное выполнение кода, связанное с .NET",Используйте рекомендации производителя: ç,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-0160,,,,1,"0,9","7,02",Kритический
64,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,414600,"0,0","7,5",Высокий уровень,"Обход безопасности, связанный с .NET",Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0248,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-0248,,,,1,"0,9","6,75",Высокий
46,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6096,Microsoft .NET Framework - 3.5,415036,"9,3","7,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-8759,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-8759,,,,1,"0,9","7,02",Kритический
67,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6108,Microsoft .NET Framework - 3.5,415253,"0,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0764,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-0764,,,,1,"0,9","6,75",Высокий
68,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6115,Microsoft .NET Framework - 3.5,415578,"0,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0765,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-0765,,,,1,"0,9","6,75",Высокий
65,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0033,Microsoft .NET Framework - 3.5,415254,"0,0","7,5",Высокий уровень,Обход защитного механизма,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0786,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-0786,,,,1,"0,9","6,75",Высокий
66,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0047,Microsoft .NET Framework - 3.5,415597,"0,0","7,8",Высокий уровень,Обход защитного механизма,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-1039,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-1039,,,,1,"0,9","7,02",Kритический
72,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0132,Microsoft .NET Framework - 3.5,415730,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8202,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-8202,,,,1,"0,9","7,02",Kритический
74,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2458",Microsoft .NET Framework - 3.5,415751,"0,0","8,1",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8284,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-8284,,,,1,"0,9","7,29",Kритический
73,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2546,Microsoft .NET Framework - 3.5,415818,"0,0","7,5",Высокий уровень,Разглашение информации,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8360,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-8360,,,,1,"0,9","6,75",Высокий
40,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2588,Microsoft .NET Framework - 3.5,415886,"0,0","9,8",Критический уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8421,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-8421,,,,1,"0,9","8,82",Kритический
69,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2458",Microsoft .NET Framework - 3.5,416073,"0,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8517,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-8517,,,,1,"0,9","6,75",Высокий
38,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,416074,"10,0","9,8",Критический уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8540,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-8540,,,,1,"0,9","8,82",Kритический
61,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,416132,"5,0","7,5",Высокий уровень,Разглашение информации,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0545,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0545,,,,1,"0,9","6,75",Высокий
47,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6096,Microsoft .NET Framework - 3.5,416209,"9,3","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0613,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0613,,,,1,"0,9","7,92",Kритический
82,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6108,Microsoft .NET Framework - 3.5,416244,"4,3","5,9",Средний уровень,Подмена данных,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0657,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0657,,,,1,"0,9","5,31",Высокий
55,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6115,Microsoft .NET Framework - 3.5,416416,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0820,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0820,,,,1,"0,9","6,75",Высокий
92,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0033,Microsoft .NET Framework - 3.5,416416,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0820,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0820,,,,1,"0,9","6,75",Высокий
56,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0047,Microsoft .NET Framework - 3.5,416481,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0980,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0980,,,,1,"0,9","6,75",Высокий
93,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0132,Microsoft .NET Framework - 3.5,416481,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0980,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0980,,,,1,"0,9","6,75",Высокий
57,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2459",Microsoft .NET Framework - 3.5,416482,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0981,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0981,,,,1,"0,9","6,75",Высокий
94,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2630,Microsoft .NET Framework - 3.5,416482,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0981,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0981,,,,1,"0,9","6,75",Высокий
54,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2672,Microsoft .NET Framework - 3.5,416597,"5,0","7,5",Высокий уровень,Обход аутентификации,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1006,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-1006,,,,1,"0,9","6,75",Высокий
91,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2459",Microsoft .NET Framework - 3.5,416597,"5,0","7,5",Высокий уровень,Обход аутентификации,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1006,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-1006,,,,1,"0,9","6,75",Высокий
58,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,416613,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1083,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-1083,,,,1,"0,9","6,75",Высокий
95,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,416613,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1083,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-1083,,,,1,"0,9","6,75",Высокий
53,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6096,Microsoft .NET Framework - 3.5,416649,"6,8","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1113,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-1113,,,,1,"0,9","7,92",Kритический
90,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6108,Microsoft .NET Framework - 3.5,416649,"6,8","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1113,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-1113,,,,1,"0,9","7,92",Kритический
48,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6115,Microsoft .NET Framework - 3.5,417048,"9,3","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0605,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-0605,,,,1,"0,9","7,92",Kритический
88,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0033,Microsoft .NET Framework - 3.5,417048,"9,3","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0605,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-0605,,,,1,"0,9","7,92",Kритический
49,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0047,Microsoft .NET Framework - 3.5,417049,"9,3","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0606,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-0606,,,,1,"0,9","7,92",Kритический
89,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0132,Microsoft .NET Framework - 3.5,417049,"9,3","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0606,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-0606,,,,1,"0,9","7,92",Kритический
39,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2460",Microsoft .NET Framework - 3.5,417086,"10,0","9,8",Критический уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0646,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-0646,,,,1,"0,9","8,82",Kритический
87,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2714,Microsoft .NET Framework - 3.5,417086,"10,0","9,8",Критический уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0646,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-0646,,,,1,"0,9","8,82",Kритический
76,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2756,Microsoft .NET Framework - 3.5,417980,"0,0","0,0",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1046,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-1046,,,,1,"0,9",0,Низкий
59,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2460",Microsoft .NET Framework - 3.5,417556,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1108,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-1108,,,,1,"0,9","6,75",Высокий
96,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,417556,"5,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1108,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-1108,,,,1,"0,9","6,75",Высокий
75,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,417729,"0,0","0,0",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1147,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-1147,,,,1,"0,9",0,Низкий
100,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6096,Microsoft .NET Framework - 3.5,417729,"0,0","0,0",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1147,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-1147,,,,1,"0,9",0,Низкий
85,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6108,Microsoft .NET Framework - 3.5,417981,"0,0","0,0",Средний уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1476,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-1476,,,,1,"0,9",0,Низкий
103,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6115,Microsoft .NET Framework - 3.5,417981,"0,0","0,0",Средний уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1476,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-1476,,,,1,"0,9",0,Низкий
